Prime#,Prime Reciprocal,Pattern Length
4931,0.00020279862096937742,4930
4933,0.00020271639975674033,2466
4937,0.00020255215718047398,4936
4943,0.00020230629172567267,4942
4951,0.00020197939810139365,2475
4957,0.00020173492031470649,413
4967,0.00020132876988121604,4966
4969,0.0002012477359629704,828
4973,0.00020108586366378444,226
4987,0.00020052135552436334,2493
4993,0.0002002803925495694,1664
4999,0.00020004000800160032,357
5003,0.0001998800719568259,2501
5009,0.00019964064683569574,626
5011,0.00019956096587507485,1670
5021,0.00019916351324437363,5020
5023,0.00019908421262193908,1674
5039,0.00019845207382417147,2519
5051,0.00019798059790140566,50
5059,0.000197667523225934,5058
5077,0.00019696671262556627,2538
5081,0.000196811651249754,1270
5087,0.00019657951641438963,5086
5099,0.00019611688566385565,5098
5101,0.00019603999215840032,1700
5107,0.00019580967299784609,2553
5113,0.00019557989438685703,1704
5119,0.0001953506544246923,853
5147,0.00019428793471925395,2573
5153,0.00019406171162429653,5152
5167,0.00019353590090961874,5166
5171,0.00019338619222587506,110
5179,0.00019308746862328635,5178
5189,0.0001927153594141453,5188
5197,0.00019241870309794111,433
5209,0.0001919754271453254,372
5227,0.0001913143294432753,2613
5231,0.00019116803670426305,2615
5233,0.00019109497420217848,5232
5237,0.00019094901661256445,77
5261,0.00019007793195210037,1052
5273,0.00018964536317087047,5272
5279,0.00018942981625307822,2639
5281,0.0001893580761219466,2640
5297,0.00018878610534264677,5296
5303,0.00018857250612860644,5302
5309,0.00018835938971557733,5308
5323,0.00018786398647379298,2661
5333,0.00018751171948246765,1333
5347,0.0001870207593042828,2673
5351,0.00018688095683049897,2675
5381,0.00018583906337112061,5380
5387,0.00018563207722294413,2693
5393,0.00018542555164101615,5392
5399,0.00018521948508983145,2699
5407,0.000184945441094877,1802
5413,0.00018474043968224645,2706
5417,0.00018460402436773122,5416
5419,0.00018453589223103894,5418
5431,0.00018412815319462345,2715
5437,0.0001839249586168843,1359
5441,0.0001837897445322551,2720
5443,0.00018372221201543268,907
5449,0.00018351991191044228,2724
5471,0.00018278194114421494,547
5477,0.00018258170531312764,1369
5479,0.0001825150574922431,2739
5483,0.0001823819077147547,2741
5501,0.00018178512997636792,5500
5503,0.00018171906232963838,5502
5507,0.00018158707100054475,2753
5519,0.0001811922449719152,2759
5521,0.00018112660749864155,345
5527,0.0001809299800977022,5526
5531,0.0001807991321641656,5530
5557,0.00017995321216483713,926
5563,0.00017975912277548085,2781
5569,0.0001795654516071108,1392
5573,0.00017943656917279743,2786
5581,0.00017917935853789643,5580
5591,0.00017885888034340904,2795
5623,0.00017784101013693757,5622
5639,0.00017733640716439085,2819
5641,0.0001772735330615139,470
5647,0.00017708517797060386,1882
5651,0.00017695983011856308,5650
5653,0.0001768972227136034,2826
5657,0.00017677214071062401,5656
5659,0.00017670966601873123,5658
5669,0.0001763979537837361,5668
5683,0.00017596339961288053,2841
5689,0.00017577781683951485,316
5693,0.0001756543123133673,1423
5701,0.00017540782318891423,5700
5711,0.0001751006828926633,571
5717,0.00017491691446562882,1429
5737,0.0001743071291615827,5736
5741,0.00017418568193694478,5740
5743,0.00017412502176562773,5742
5749,0.00017394329448599757,5748
5779,0.00017304031839418584,5778
5783,0.00017292062943109114,5782
5791,0.0001726817475392851,965
5801,0.00017238407171177384,1450
5807,0.00017220595832615808,5806
5813,0.0001720282126268708,2906
5821,0.00017179178835251675,5820
5827,0.00017161489617298782,2913
5839,0.00017126220243192326,2919
5843,0.00017114495978093444,2921
5849,0.00017096939647803043,1462
5851,0.00017091095539224064,1950
5857,0.00017073587160662456,5856
5861,0.00017061934823408976,5860
5867,0.0001704448610874382,2933
5869,0.0001703867779860283,5868
5879,0.00017009695526450075,2939
5881,0.00017003910899506886,2940
5897,0.00016957775139901646,5896
5903,0.0001694053870913095,5902
5923,0.00016883336147222692,2961
5927,0.00016871941960519654,5926
5939,0.00016837851490149856,5938
5953,0.00016798252981689904,1984
5981,0.00016719612104999163,5980
5987,0.00016702856188408218,2993
6007,0.000166472448809722,858
6011,0.00016636167027116953,6010
6029,0.0001658649859014762,6028
6037,0.00016564518800728838,3018
6043,0.00016548072149594572,3021
6047,0.000165371258475277,6046
6053,0.00016520733520568312,3026
6067,0.00016482610845557937,3033
6073,0.00016466326362588507,6072
6079,0.00016450074025333114,1013
6089,0.00016423057973394647,761
